dataset,dist,sigma,tau,seed,candidates,prefiltered,nonCanonical,evaluated
MUTAG,normal,0.10,0.5,42,327,0,93,234
MUTAG,normal,0.10,0.5,1337,310,0,83,227
MUTAG,normal,0.10,0.5,2024,382,0,106,276
MUTAG,normal,0.10,0.5,31415,339,0,96,243
MUTAG,normal,0.10,0.5,271828,382,0,107,275
MUTAG,normal,0.05,0.3,42,71859,0,17606,54253
MUTAG,normal,0.05,0.3,1337,63651,0,15155,48496
MUTAG,normal,0.05,0.3,2024,61995,0,14888,47107
MUTAG,normal,0.05,0.3,31415,93342,0,22849,70493
MUTAG,normal,0.05,0.3,271828,77404,0,18443,58961
PTC_MR,normal,0.10,0.3,42,3242,0,1523,1719
PTC_MR,normal,0.10,0.3,1337,3148,0,1493,1655
PTC_MR,normal,0.10,0.3,2024,3410,0,1609,1801
PTC_MR,normal,0.10,0.3,31415,3171,0,1483,1688
PTC_MR,normal,0.10,0.3,271828,3730,0,1784,1946
NCI1,normal,0.10,0.5,42,559,0,254,305
NCI1,normal,0.10,0.5,1337,578,0,269,309
NCI1,normal,0.10,0.5,2024,566,0,258,308
NCI1,normal,0.10,0.5,31415,566,0,258,308
NCI1,normal,0.10,0.5,271828,566,0,258,308
NCI109,normal,0.10,0.5,42,535,0,243,292
NCI109,normal,0.10,0.5,1337,586,0,274,312
NCI109,normal,0.10,0.5,2024,586,0,274,312
NCI109,normal,0.10,0.5,31415,555,0,259,296
NCI109,normal,0.10,0.5,271828,590,0,265,325
MUTAG,nexp,0.10,0.3,42,53,0,16,37
MUTAG,nexp,0.10,0.3,1337,59,0,19,40
MUTAG,nexp,0.10,0.3,2024,77,0,23,54
MUTAG,nexp,0.10,0.3,31415,72,0,21,51
MUTAG,nexp,0.10,0.3,271828,59,0,19,40
NCI1,nexp,0.10,0.3,42,146,0,60,86
NCI1,nexp,0.10,0.3,1337,146,0,60,86
NCI1,nexp,0.10,0.3,2024,146,0,60,86
NCI1,nexp,0.10,0.3,31415,146,0,60,86
NCI1,nexp,0.10,0.3,271828,146,0,60,86
