dataset,N,method,seed,sigma,tau,heap,peak_heap_mb,mean_ms,patterns,status
Yeast,1000,pivot,42,0.10,0.5,8g,10,165,32,ok
Yeast,1000,embed-min,42,0.10,0.5,8g,412,1086,32,ok
Yeast,1000,pivot,1337,0.10,0.5,8g,17,156,31,ok
Yeast,1000,embed-min,1337,0.10,0.5,8g,353,1029,31,ok
Yeast,1000,pivot,2024,0.10,0.5,8g,17,185,33,ok
Yeast,1000,embed-min,2024,0.10,0.5,8g,193,1054,33,ok
Yeast,2000,pivot,42,0.10,0.5,8g,30,275,32,ok
Yeast,2000,embed-min,42,0.10,0.5,8g,501,1454,32,ok
Yeast,2000,pivot,1337,0.10,0.5,8g,31,285,34,ok
Yeast,2000,embed-min,1337,0.10,0.5,8g,574,1740,34,ok
Yeast,2000,pivot,2024,0.10,0.5,8g,30,273,34,ok
Yeast,2000,embed-min,2024,0.10,0.5,8g,562,1679,34,ok
Yeast,4000,pivot,42,0.10,0.5,8g,63,593,30,ok
Yeast,4000,embed-min,42,0.10,0.5,8g,1246,3831,30,ok
Yeast,4000,pivot,1337,0.10,0.5,8g,62,551,31,ok
Yeast,4000,embed-min,1337,0.10,0.5,8g,1464,3999,31,ok
Yeast,4000,pivot,2024,0.10,0.5,8g,63,629,32,ok
Yeast,4000,embed-min,2024,0.10,0.5,8g,1006,3930,32,ok
Yeast,8000,pivot,42,0.10,0.5,8g,120,1089,32,ok
Yeast,8000,embed-min,42,0.10,0.5,8g,2803,7827,32,ok
Yeast,8000,pivot,1337,0.10,0.5,8g,120,1139,32,ok
Yeast,8000,embed-min,1337,0.10,0.5,8g,2373,7953,32,ok
Yeast,8000,pivot,2024,0.10,0.5,8g,119,1151,32,ok
Yeast,8000,embed-min,2024,0.10,0.5,8g,2099,7964,32,ok
Yeast,16000,pivot,42,0.10,0.5,8g,235,2115,34,ok
Yeast,16000,embed-min,42,0.10,0.5,8g,3512,14166,34,ok
Yeast,16000,pivot,1337,0.10,0.5,8g,231,2106,34,ok
Yeast,16000,embed-min,1337,0.10,0.5,8g,3439,14386,34,ok
Yeast,16000,pivot,2024,0.10,0.5,8g,232,2128,34,ok
Yeast,16000,embed-min,2024,0.10,0.5,8g,3524,14217,34,ok
Yeast,32000,pivot,42,0.10,0.5,8g,453,3527,29,ok
Yeast,32000,embed-min,42,0.10,0.5,8g,4276,21184,29,ok
Yeast,32000,pivot,1337,0.10,0.5,8g,456,3640,30,ok
Yeast,32000,embed-min,1337,0.10,0.5,8g,4362,20871,30,ok
Yeast,32000,pivot,2024,0.10,0.5,8g,463,3654,29,ok
Yeast,32000,embed-min,2024,0.10,0.5,8g,4293,20901,29,ok
Yeast,64000,pivot,42,0.10,0.5,8g,868,7867,29,ok
Yeast,64000,embed-min,42,0.10,0.5,8g,8188,39733,29,ok
Yeast,64000,pivot,1337,0.10,0.5,8g,841,8254,29,ok
Yeast,64000,embed-min,1337,0.10,0.5,8g,8187,39975,29,ok
Yeast,64000,pivot,2024,0.10,0.5,8g,882,7871,29,ok
Yeast,64000,embed-min,2024,0.10,0.5,8g,8168,40789,29,ok
Yeast,79601,pivot,42,0.10,0.5,8g,1001,7752,26,ok
Yeast,79601,embed-min,42,0.10,0.5,8g,-1,-1,-1,oom
Yeast,79601,pivot,1337,0.10,0.5,8g,1000,7789,26,ok
Yeast,79601,embed-min,1337,0.10,0.5,8g,-1,-1,-1,oom
Yeast,79601,pivot,2024,0.10,0.5,8g,999,8055,26,ok
Yeast,79601,embed-min,2024,0.10,0.5,8g,-1,-1,-1,oom
